,genus,family,order,class
453,Uromastyx,Agamidae,Squamata,Reptilia
454,Leiolepis,Agamidae,Squamata,Reptilia
455,Brachysaura,Agamidae,Squamata,Reptilia
456,Acanthocercus,Agamidae,Squamata,Reptilia
457,Xenagama,Agamidae,Squamata,Reptilia
458,Pseudotrapelus,Agamidae,Squamata,Reptilia
459,Agama,Agamidae,Squamata,Reptilia
460,Bufoniceps,Agamidae,Squamata,Reptilia
461,Trapelus,Agamidae,Squamata,Reptilia
462,Laudakia,Agamidae,Squamata,Reptilia
463,Paralaudakia,Agamidae,Squamata,Reptilia
464,Stellagama,Agamidae,Squamata,Reptilia
465,Phrynocephalus,Agamidae,Squamata,Reptilia
466,Psammophilus,Agamidae,Squamata,Reptilia
467,Oriocalotes,Agamidae,Squamata,Reptilia
468,Hypsicalotes,Agamidae,Squamata,Reptilia
469,Harpesaurus,Agamidae,Squamata,Reptilia
470,Ceratophora,Agamidae,Squamata,Reptilia
471,Cophotis,Agamidae,Squamata,Reptilia
472,Lyriocephalus,Agamidae,Squamata,Reptilia
473,Aphaniotis,Agamidae,Squamata,Reptilia
474,Coryphophylax,Agamidae,Squamata,Reptilia
475,Gonocephalus,Agamidae,Squamata,Reptilia
476,Bronchocela,Agamidae,Squamata,Reptilia
477,Phoxophrys,Agamidae,Squamata,Reptilia
478,Calotes,Agamidae,Squamata,Reptilia
479,Lophocalotes,Agamidae,Squamata,Reptilia
480,Dendragama,Agamidae,Squamata,Reptilia
481,Complicitus,Agamidae,Squamata,Reptilia
482,Pseudocophotis,Agamidae,Squamata,Reptilia
483,Acanthosaura,Agamidae,Squamata,Reptilia
484,Japalura,Agamidae,Squamata,Reptilia
485,Pseudocalotes,Agamidae,Squamata,Reptilia
486,Thaumatorhynchus,Agamidae,Squamata,Reptilia
487,Otocryptis,Agamidae,Squamata,Reptilia
488,Sitana,Agamidae,Squamata,Reptilia
489,Salea,Agamidae,Squamata,Reptilia
490,Draco,Agamidae,Squamata,Reptilia
491,Ptyctolaemus,Agamidae,Squamata,Reptilia
492,Mantheyus,Agamidae,Squamata,Reptilia
493,Amphibolurus,Agamidae,Squamata,Reptilia
494,Lophognathus,Agamidae,Squamata,Reptilia
495,Chlamydosaurus,Agamidae,Squamata,Reptilia
