"genus","family","order","class","phylum"
"Anaphalioides","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leucogenes","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Euchiton","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Stuartina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ewartia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Argyrotegium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Parantennaria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pterygopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ozothamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Cassinia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Haeckeria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Rhetinocarpha","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Cremnothamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Acanthocladium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ixodia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Argyroglottis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Odixia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Calomeria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Apalochlamys","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ammobium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Nablonium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Podolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Siemssenia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Acomis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Triptilodiscus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Coronidium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Xerochrysum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leucochrysum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anemocarpa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Phacellothrix","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Haegiela","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leptorhynchos","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Asteridea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pterochaeta","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chrysocephalum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leiocarpa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Waitzia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Argentipallium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichanthodium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sondottia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Blennospora","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Cephalosorus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gilruthia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pogonolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Angianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Erymophyllum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Quinetia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dithyrostegia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Actinobole","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Siloxerus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chthonocephalus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lemooria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gnephosis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dielitzia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ixiolaena","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
